Contrato - ID de contrato,Tipo de contrato,Organización - Departamento,Partes afectadas - Nombre del proveedor (L1),Contrato - Fecha de expiración,dias_hasta_vencimiento,Estado del contrato
CW2261559,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FUNDERINNOVA,2026-05-22,11.0,Publicado
CW2261545,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,CUERPO DE BOMBEROS VOLUNTARIOS DE S,2026-05-22,11.0,Publicado
CW2261557,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,INSIGEST SAS,2026-05-22,11.0,Modificación del borrador
CW2368744,CONTRATO PRESTACIÓN DE SERVICIOS DE NEGOCIO (AY DX),Ayudas Diagnósticas,LIZETH CAROLINA VALENCIA MENDEZ,2026-05-22,11.0,Publicado
CW2285450,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA BLAS DE LEZO S.A,2026-05-22,11.0,Publicado
CW2287352,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SOCIEDAD COLOMBIANA DE MEDICINA DEL,2026-05-22,11.0,Publicado
CW2374883,CONTRATO DE PRESTACIÓN  DE SERVICIOS,G.S. Riesgos,MOORE ASSURANCE S.A.S,2026-05-22,11.0,Publicado
CW2348674,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA BLAS DE LEZO S.A,2026-05-22,11.0,Publicado
CW2298452,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,VITALITY HOME CARE IPS SAS,2026-05-22,11.0,Publicado
CW2285450,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA BLAS DE LEZO S.A,2026-05-22,11.0,Publicado
CW2297619,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,RADIOIMAGENES DR. TELLO S.A.S,2026-05-22,11.0,Publicado
CW2347730,CONTRATO DE PRESTACIÓN  DE SERVICIOS,"Personas, Familia y Gestión de Canales",VIVEX AGENCIA PROMOTORA DE SEGUROS,2026-05-22,11.0,Borrador
CW2341258,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA VALLE SALUD SAN FERNANDO S.,2026-05-22,11.0,Publicado
CW2347730,CONTRATO DE PRESTACIÓN  DE SERVICIOS,"Personas, Familia y Gestión de Canales",VIVEX AGENCIA PROMOTORA DE SEGUROS,2026-05-22,11.0,Borrador
CW2286303,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENTRO DE ORTOPEDIA Y FRACTURAS S.A,2026-05-22,11.0,Publicado
CW2373325,CONTRATO PRESTACIÓN DE SERVICIOS DE NEGOCIO (AY DX),Ayudas Diagnósticas,ESTEFANIA MESA ARISTIZABAL,2026-05-22,11.0,Publicado
CW2376457,CONTRATO DE PRESTACIÓN  DE SERVICIOS,Laboratorio,IDATA S.A.S.,2026-05-22,11.0,Publicado
CW2349099,CONTRATO DE COMPRAVENTA DE BIENES MUEBLES,Vaxthera,PALLOMARO S.A.,2026-05-22,11.0,Publicado
